date,reportedCurrency,cik,filingDate,acceptedDate,fiscalYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,accountsReceivables,otherReceivables,inventory,prepaids,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,totalPayables,accountPayables,otherPayables,accruedExpenses,shortTermDebt,capitalLeaseObligationsCurrent,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,capitalLeaseObligationsNonCurrent,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,treasuryStock,preferredStock,commonStock,retainedEarnings,additionalPaidInCapital,accumulatedOtherComprehensiveIncomeLoss,otherTotalStockholdersEquity,totalStockholdersEquity,totalEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt
6/30/2025,USD,0000789019,7/30/2025,7/30/2025 16:11,2025,FY,30242000000,64313000000,94555000000,69905000000,69905000000,0,938000000,0,25733000000,1.91131E+11,2.29789E+11,1.19509E+11,22604000000,1.42113E+11,15133000000,0,40837000000,4.27872E+11,0,6.19003E+11,34935000000,27724000000,7211000000,0,2999000000,8596000000,0,64555000000,30133000000,1.41218E+11,40152000000,60437000000,2710000000,2835000000,28172000000,1.34306E+11,0,69033000000,2.75524E+11,0,0,1.09095E+11,2.37731E+11,0,-3347000000,0,3.43479E+11,3.43479E+11,0,6.19003E+11,79446000000,1.12184E+11,81942000000
6/30/2024,USD,0000789019,7/30/2024,7/30/2024 16:06,2024,FY,18315000000,57216000000,75531000000,56924000000,56924000000,0,1246000000,0,26033000000,1.59734E+11,1.54552E+11,1.1922E+11,27597000000,1.46817E+11,14600000000,0,36460000000,3.52429E+11,0,5.12163E+11,27013000000,21996000000,5017000000,0,8942000000,5929000000,5017000000,57582000000,25820000000,1.25286E+11,42688000000,40293000000,2602000000,2618000000,30199000000,1.184E+11,0,46222000000,2.43686E+11,0,0,1.00923E+11,1.73144E+11,0,-5590000000,0,2.68477E+11,2.68477E+11,0,5.12163E+11,71816000000,97852000000,79537000000
6/30/2023,USD,0000789019,7/27/2023,7/27/2023 16:01,2023,FY,34704000000,76552000000,1.11256E+11,48688000000,48688000000,0,2500000000,0,21813000000,1.84257E+11,1.09987E+11,67886000000,9366000000,77252000000,9879000000,0,30601000000,2.27719E+11,0,4.11976E+11,22247000000,18095000000,4152000000,0,5247000000,3606000000,4152000000,50901000000,22148000000,1.04149E+11,41990000000,28598000000,2912000000,433000000,27671000000,1.01604E+11,0,32204000000,2.05753E+11,0,0,93718000000,1.18848E+11,0,-6343000000,0,2.06223E+11,2.06223E+11,0,4.11976E+11,86431000000,79441000000,44737000000
6/30/2022,USD,0000789019,7/28/2022,7/28/2022 16:06,2022,FY,13931000000,90818000000,1.04749E+11,44261000000,44261000000,0,3742000000,0,16932000000,1.69684E+11,87546000000,67524000000,11298000000,78822000000,6891000000,0,21897000000,1.95156E+11,0,3.6484E+11,23067000000,19000000000,4067000000,0,2749000000,3288000000,4067000000,45538000000,20440000000,95082000000,47032000000,25331000000,2870000000,230000000,27753000000,1.03216E+11,0,28619000000,1.98298E+11,0,0,86939000000,84281000000,0,-4678000000,0,1.66542E+11,1.66542E+11,0,3.6484E+11,97709000000,78400000000,64469000000
6/30/2021,USD,0000789019,7/29/2021,7/29/2021 16:21,2021,FY,14224000000,1.16032E+11,1.30256E+11,38043000000,38043000000,0,2636000000,0,13471000000,1.84406E+11,70803000000,49711000000,7800000000,57511000000,5984000000,0,15075000000,1.49373E+11,0,3.33779E+11,17337000000,15163000000,2174000000,0,8072000000,2753000000,2174000000,41525000000,18970000000,88657000000,50074000000,21379000000,2616000000,198000000,28867000000,1.03134E+11,0,24132000000,1.91791E+11,0,0,83111000000,57055000000,0,1822000000,0,1.41988E+11,1.41988E+11,0,3.33779E+11,1.22016E+11,82278000000,68054000000
