date,reportedCurrency,cik,filingDate,acceptedDate,fiscalYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,accountsReceivables,otherReceivables,inventory,prepaids,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,totalPayables,accountPayables,otherPayables,accruedExpenses,shortTermDebt,capitalLeaseObligationsCurrent,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,capitalLeaseObligationsNonCurrent,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,treasuryStock,preferredStock,commonStock,retainedEarnings,additionalPaidInCapital,accumulatedOtherComprehensiveIncomeLoss,otherTotalStockholdersEquity,totalStockholdersEquity,totalEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt
9/27/2025,USD,0000320193,10/31/2025,10/31/2025 6:01,2025,FY,35934000000,18763000000,54697000000,72957000000,39777000000,33180000000,5718000000,0,14585000000,1.47957E+11,49834000000,0,0,0,77723000000,20777000000,62950000000,2.11284E+11,0,3.59241E+11,82876000000,69860000000,13016000000,8919000000,20329000000,2117000000,0,9055000000,42335000000,1.65631E+11,78328000000,11603000000,0,0,29946000000,1.19877E+11,0,13720000000,2.85508E+11,0,0,93568000000,-14264000000,0,-5571000000,0,73733000000,73733000000,0,3.59241E+11,96486000000,1.12377E+11,76443000000
9/28/2024,USD,0000320193,11/1/2024,11/1/2024 6:01,2024,FY,29943000000,35228000000,65171000000,66243000000,33410000000,32833000000,7286000000,0,14287000000,1.52987E+11,45680000000,0,0,0,91479000000,19499000000,55335000000,2.11993E+11,0,3.6498E+11,95561000000,68960000000,26601000000,0,20879000000,1632000000,26601000000,8249000000,50071000000,1.76392E+11,85750000000,10798000000,0,0,35090000000,1.31638E+11,0,12430000000,3.0803E+11,0,0,83276000000,-19154000000,0,-7172000000,0,56950000000,56950000000,0,3.6498E+11,1.26707E+11,1.19059E+11,89116000000
9/30/2023,USD,0000320193,11/3/2023,11/2/2023 18:08,2023,FY,29965000000,31590000000,61555000000,60985000000,29508000000,31477000000,6331000000,0,14695000000,1.43566E+11,54376000000,0,0,0,1.00544E+11,17852000000,36245000000,2.09017E+11,0,3.52583E+11,71430000000,62611000000,8819000000,0,15807000000,1575000000,8819000000,8061000000,48435000000,1.45308E+11,95281000000,11267000000,0,0,38581000000,1.45129E+11,0,12842000000,2.90437E+11,0,0,73812000000,-214000000,0,-11452000000,0,62146000000,62146000000,0,3.52583E+11,1.32134E+11,1.2393E+11,93965000000
9/24/2022,USD,0000320193,10/28/2022,10/27/2022 18:01,2022,FY,23646000000,24658000000,48304000000,60932000000,28184000000,32748000000,4946000000,0,21223000000,1.35405E+11,52534000000,0,0,0,1.20805E+11,15375000000,28636000000,2.1735E+11,0,3.52755E+11,70667000000,64115000000,6552000000,0,21110000000,1663000000,6552000000,7912000000,52630000000,1.53982E+11,98959000000,10748000000,0,0,38394000000,1.48101E+11,0,12411000000,3.02083E+11,0,0,64849000000,-3068000000,0,-11109000000,0,50672000000,50672000000,0,3.52755E+11,1.45463E+11,1.3248E+11,1.08834E+11
9/25/2021,USD,0000320193,10/29/2021,10/28/2021 18:04,2021,FY,34940000000,27699000000,62639000000,51506000000,26278000000,25228000000,6580000000,0,14111000000,1.34836E+11,49527000000,0,0,0,1.27877E+11,0,38762000000,2.16166E+11,0,3.51002E+11,54763000000,54763000000,0,0,15613000000,1528000000,0,7612000000,45965000000,1.25481E+11,1.09106E+11,10275000000,0,0,43050000000,1.62431E+11,0,11803000000,2.87912E+11,0,0,57365000000,5562000000,0,163000000,0,63090000000,63090000000,0,3.51002E+11,1.55576E+11,1.36522E+11,1.01582E+11
